asset_a,asset_b,similarity,category
Flounder.png,Halibut.png,1.0000011920928955,fauna
Diving_Beetle.png,Water_Beetle.png,0.999992311000824,fauna
Duck.png,Eider_Duck.png,0.999753475189209,fauna
Beetle.png,Ladybug.png,0.9996830821037292,fauna
Tarpon.png,Trout.png,0.9993193745613098,fauna
Hawk.png,Osprey.png,0.9991172552108765,fauna
Giant_Isopod.png,Isopod.png,0.9986295700073242,fauna
Dragonfish.png,Eel.png,0.9985271096229553,fauna
Clam.png,Scallop.png,0.9984495639801025,fauna
Sardine.png,Trout.png,0.9983686804771423,fauna
Deep-Sea_Fish.png,Salmon.png,0.9981908798217773,fauna
Sardine.png,Tarpon.png,0.9981362223625183,fauna
Sand_Dollar.png,Starfish.png,0.9981088042259216,fauna
Alligator.png,Caiman.png,0.9980903267860413,fauna
Cave_Cricket.png,Fly_Larvae.png,0.9980220198631287,fauna
Falcon.png,Osprey.png,0.997748613357544,fauna
Kestrel.png,Skua.png,0.9977142810821533,fauna
Dragonfish.png,Electric_Eel.png,0.9975768327713013,fauna
Abalone.png,Cowrie.png,0.997390627861023,fauna
Anaconda.png,Whip_Snake.png,0.9972968101501465,fauna
Abalone.png,Limpet.png,0.9972254037857056,fauna
Reef_Shark.png,Tiger_Shark.png,0.9969673752784729,fauna
Falcon.png,Hawk.png,0.9968236684799194,fauna
Bullfrog.png,Glass_Frog.png,0.9968032836914062,fauna
Juvenile_Shark.png,Shark.png,0.9966486692428589,fauna
Carp.png,Tetra.png,0.9966331720352173,fauna
Petrel.png,Snow_Petrel.png,0.9963594675064087,fauna
Small_Fish.png,Tarpon.png,0.996333658695221,fauna
Giant_Clam.png,Oyster.png,0.9962176084518433,fauna
Vole.png,Water_Vole.png,0.9961786866188049,fauna
Frog.png,Tree_Frog.png,0.9958426356315613,fauna
Gull.png,Ptarmigan.png,0.9958294034004211,fauna
Salmon.png,Whitefish.png,0.9958028197288513,fauna
Small_Fish.png,Trout.png,0.9955819845199585,fauna
Sardine.png,Small_Fish.png,0.9954893589019775,fauna
Clam.png,Mussel.png,0.9954223036766052,fauna
Mussel.png,Scallop.png,0.9953868985176086,fauna
Eel.png,Electric_Eel.png,0.9953063726425171,fauna
Avocet.png,Ibis.png,0.9951754212379456,fauna
Giant_Clam.png,Scallop.png,0.9950973987579346,fauna
Booby.png,Gannet.png,0.9950791597366333,fauna
